workout_count=[1], workout_angle=[179.96723452485642], workout_stage=['up'], total_tracks=1, speed={'track': 35.866951002390124, 'solution': 0.8597869964432903}
workout_count=[1], workout_angle=[179.8316269292834], workout_stage=['up'], total_tracks=1, speed={'track': 36.841668999841204, 'solution': 0.8926369991968386}
workout_count=[1], workout_angle=[179.65155632927627], workout_stage=['up'], total_tracks=1, speed={'track': 36.4837630004331, 'solution': 0.8722070015210193}
workout_count=[1], workout_angle=[179.75907434704712], workout_stage=['up'], total_tracks=1, speed={'track': 38.08098200170207, 'solution': 0.9051080014614854}
workout_count=[1], workout_angle=[179.7559772448569], workout_stage=['up'], total_tracks=1, speed={'track': 36.29251899837982, 'solution': 0.8773770023253746}
workout_count=[1], workout_angle=[179.55359520568302], workout_stage=['up'], total_tracks=1, speed={'track': 36.70427700126311, 'solution': 0.9233380005753133}
workout_count=[1], workout_angle=[179.0739342924148], workout_stage=['up'], total_tracks=1, speed={'track': 35.898041001928505, 'solution': 0.8725070001673885}
workout_count=[1], workout_angle=[177.6581176351048], workout_stage=['up'], total_tracks=1, speed={'track': 36.41523099940969, 'solution': 0.8684269996592775}
workout_count=[1], workout_angle=[169.42531169275847], workout_stage=['up'], total_tracks=1, speed={'track': 37.080073001561686, 'solution': 0.8940769985201769}
workout_count=[1], workout_angle=[166.50134435694736], workout_stage=['up'], total_tracks=1, speed={'track': 36.475281998718856, 'solution': 0.877137001225492}
workout_count=[1], workout_angle=[160.3068521024952], workout_stage=['up'], total_tracks=1, speed={'track': 35.461133000353584, 'solution': 0.8676470024511218}
workout_count=[1], workout_angle=[148.50823105467387], workout_stage=['up'], total_tracks=1, speed={'track': 36.26312800042797, 'solution': 0.8776670001680031}
workout_count=[1], workout_angle=[140.72068701922382], workout_stage=['up'], total_tracks=1, speed={'track': 35.500583002431085, 'solution': 0.8773169975029305}
workout_count=[1], workout_angle=[141.28806375194537], workout_stage=['up'], total_tracks=1, speed={'track': 36.37452000111807, 'solution': 0.9268969988625031}
workout_count=[1], workout_angle=[132.03622776744703], workout_stage=['up'], total_tracks=1, speed={'track': 35.87898100158782, 'solution': 0.9348079984192736}
workout_count=[1], workout_angle=[123.8046084348495], workout_stage=['up'], total_tracks=1, speed={'track': 37.775606997456634, 'solution': 0.9068680010386743}
workout_count=[1], workout_angle=[118.98340904568086], workout_stage=['up'], total_tracks=1, speed={'track': 36.89248999944539, 'solution': 0.878475999343209}
workout_count=[1], workout_angle=[108.15945882819919], workout_stage=['up'], total_tracks=1, speed={'track': 37.733826000476256, 'solution': 0.8758869989833329}
workout_count=[1], workout_angle=[96.8519883235645], workout_stage=['up'], total_tracks=1, speed={'track': 35.87105100086774, 'solution': 0.8769170017330907}
workout_count=[1], workout_angle=[94.08730836220354], workout_stage=['up'], total_tracks=1, speed={'track': 35.21002799971029, 'solution': 0.9378180002386216}
workout_count=[2], workout_angle=[82.14838807734476], workout_stage=['down'], total_tracks=1, speed={'track': 35.38324100009049, 'solution': 0.8770569984335452}
workout_count=[2], workout_angle=[69.14275562216697], workout_stage=['down'], total_tracks=1, speed={'track': 35.693385998456506, 'solution': 0.879728002473712}
workout_count=[2], workout_angle=[65.53612308920319], workout_stage=['down'], total_tracks=1, speed={'track': 34.19616899918765, 'solution': 0.8789570019871462}
workout_count=[2], workout_angle=[57.129300012694394], workout_stage=['down'], total_tracks=1, speed={'track': 35.10696599914809, 'solution': 0.8727070016902871}
workout_count=[2], workout_angle=[53.97668292406269], workout_stage=['down'], total_tracks=1, speed={'track': 36.71037700041779, 'solution': 0.8853969993651845}
workout_count=[2], workout_angle=[52.149592115147726], workout_stage=['down'], total_tracks=1, speed={'track': 37.32798899727641, 'solution': 0.9532280018902384}
workout_count=[2], workout_angle=[50.857639716517475], workout_stage=['down'], total_tracks=1, speed={'track': 35.60936600115383, 'solution': 0.8871059981174767}
workout_count=[2], workout_angle=[49.722001530003965], workout_stage=['down'], total_tracks=1, speed={'track': 36.67431699795998, 'solution': 0.8709860012459103}
workout_count=[2], workout_angle=[49.56865046755029], workout_stage=['down'], total_tracks=1, speed={'track': 35.67466700042132, 'solution': 0.887166999746114}
workout_count=[2], workout_angle=[48.67569335245681], workout_stage=['down'], total_tracks=1, speed={'track': 35.4319010002655, 'solution': 0.8892369987734128}
workout_count=[2], workout_angle=[48.69313808835403], workout_stage=['down'], total_tracks=1, speed={'track': 36.06886499983375, 'solution': 0.8863559996825643}
workout_count=[2], workout_angle=[48.244391910106486], workout_stage=['down'], total_tracks=1, speed={'track': 35.01412400146364, 'solution': 0.8992580005724449}
workout_count=[2], workout_angle=[48.12962836571437], workout_stage=['down'], total_tracks=1, speed={'track': 34.589684997627046, 'solution': 0.9337490046164021}
workout_count=[2], workout_angle=[48.32116369788669], workout_stage=['down'], total_tracks=1, speed={'track': 35.17279699735809, 'solution': 0.8842970019031782}
workout_count=[2], workout_angle=[49.52387920195547], workout_stage=['down'], total_tracks=1, speed={'track': 35.816090003208956, 'solution': 0.9241569969162811}
workout_count=[2], workout_angle=[53.90628001445204], workout_stage=['down'], total_tracks=1, speed={'track': 36.5660339994065, 'solution': 0.9377679998578969}
